Pclass,Age,Fare,Family_Size,Has_Cabin,Sex_encoded,Embarked_encoded,Family_Size_Group_encoded,Age_Group_encoded,Fare_Range_encoded,Title_encoded,Cabin_Deck_encoded,Ticket_Group_encoded,Ticket_Share_Type_encoded,Ticket_Number_Length,Ticket_Group_Size,Pclass_Sex_encoded,Age_Sex_Group_encoded,Fare_Per_Person,Name_Length,Has_Parentheses,Age_Sex_Interaction_encoded,Pclass1_Male,Pclass1_Female,YoungAdult_Male_LowClass
3,25.0,56.4958,1,0,1,2,0,3,3,2,8,5,0,4,8,5,2,56.4958,12,0,7,0,0,1
2,29.5,0.0,1,0,1,2,0,3,1,2,8,5,2,6,1,3,2,0.0,32,0,7,0,0,1
1,42.0,221.7792,1,1,1,2,0,1,3,2,2,2,0,5,4,1,2,221.7792,18,0,3,1,0,0
3,18.0,9.35,2,0,0,2,2,3,2,3,8,5,1,6,2,4,1,4.675,26,1,6,0,0,0
2,31.0,26.25,3,0,0,2,2,1,0,3,8,3,1,5,3,2,1,8.75,43,1,2,0,0,0
3,21.0,8.4333,1,0,1,2,0,3,2,2,8,5,2,4,1,5,2,8.4333,30,0,7,0,0,1
3,26.0,56.4958,1,0,1,2,0,3,3,2,8,5,0,4,8,5,2,56.4958,14,0,7,0,0,1
1,37.5,227.525,1,0,1,0,0,1,3,2,8,2,0,5,5,1,2,227.525,19,0,3,1,0,0
3,25.0,7.75,1,0,1,1,0,3,1,2,8,5,2,6,1,5,2,7.75,28,0,7,0,0,1
3,31.0,18.0,2,0,0,2,2,1,0,3,8,5,1,6,2,4,1,9.0,55,1,2,0,0,0
1,56.0,35.5,1,1,1,0,0,2,3,4,0,5,2,5,1,1,2,35.5,35,0,5,1,0,0
3,21.0,9.825,2,0,0,2,2,3,2,1,8,5,2,4,1,4,1,4.9125,24,0,6,0,0,0
3,25.0,69.55,11,0,1,2,1,3,3,2,8,3,0,4,11,5,2,6.322727272727272,24,0,7,0,0,1
1,56.0,26.55,1,0,1,2,0,2,0,2,8,5,2,6,1,1,2,26.55,26,0,5,1,0,0
3,21.0,7.8,1,0,1,2,0,3,1,2,8,0,2,6,1,5,2,7.8,28,0,7,0,0,1
1,33.0,90.0,2,1,0,1,2,1,3,1,2,5,1,5,3,0,1,45.0,22,0,2,0,1,0
3,21.0,7.7333,1,0,1,1,0,3,1,2,8,0,2,6,1,5,2,7.7333,19,0,7,0,0,1
3,25.0,7.25,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.25,22,0,7,0,0,1
3,43.0,6.45,1,0,1,2,0,1,1,2,8,2,2,4,1,5,2,6.45,32,0,3,0,0,0
3,22.0,25.4667,5,0,0,2,1,3,0,1,8,5,0,4,5,4,1,5.0933399999999995,18,0,6,0,0,0
3,30.0,16.1,2,0,1,2,2,1,0,2,8,0,1,5,2,5,2,8.05,24,0,3,0,0,0
1,32.0,76.2917,1,1,0,0,0,1,3,1,3,5,1,5,2,0,1,76.2917,21,0,2,0,1,0
1,43.5,79.2,1,0,0,0,0,1,3,3,8,2,1,5,2,0,1,79.2,30,0,2,0,1,0
2,19.0,10.5,1,0,1,2,0,3,2,2,8,1,2,3,1,3,2,10.5,25,0,7,0,0,1
3,24.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,16,0,7,0,0,1
2,45.0,13.5,1,0,0,2,0,1,2,3,8,5,2,6,1,2,1,13.5,29,0,2,0,0,0
3,23.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,18,0,7,0,0,1
3,42.0,8.4042,2,0,1,2,2,1,2,2,8,5,2,4,1,5,2,4.2021,32,0,3,0,0,0
1,39.0,83.1583,3,1,0,0,2,1,3,1,4,2,1,5,3,0,1,27.71943333333333,27,0,2,0,1,0
3,16.0,8.05,1,0,1,2,0,0,2,2,8,1,2,6,1,5,2,8.05,30,0,1,0,0,0
3,25.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,18,0,7,0,0,1
2,66.0,10.5,1,0,1,2,0,2,2,2,8,3,2,5,1,3,2,10.5,21,0,5,0,0,0
1,28.0,26.55,1,1,1,2,0,3,0,2,2,5,2,6,1,1,2,26.55,41,0,7,1,0,0
2,51.0,12.525,1,0,1,2,0,2,2,4,8,4,2,4,1,3,2,12.525,26,0,5,0,0,0
2,47.0,15.0,1,0,1,2,0,1,0,2,8,5,2,6,1,3,2,15.0,23,0,3,0,0,0
3,18.0,8.05,1,0,1,2,0,3,2,2,8,0,2,5,1,5,2,8.05,24,0,7,0,0,1
2,36.0,13.0,1,0,1,2,0,1,2,2,8,5,2,6,1,3,2,13.0,23,0,3,0,0,0
2,30.0,13.0,1,0,0,2,0,1,2,1,8,5,2,6,1,2,1,13.0,21,0,2,0,0,0
2,22.0,29.0,3,0,0,2,2,3,0,3,8,5,1,6,3,2,1,9.666666666666666,51,1,6,0,0,0
3,22.0,7.75,1,0,0,1,0,3,1,1,8,5,2,6,1,4,1,7.75,18,0,6,0,0,0
2,25.0,13.0,1,0,1,2,0,3,2,2,8,3,2,5,1,3,2,13.0,30,0,7,0,0,1
3,23.5,7.2292,1,0,1,0,0,3,1,2,8,5,2,4,1,5,2,7.2292,14,0,7,0,0,1
